,PLAYER,POS,FPTS,VOR,VALUERANK
0,Jonathan Taylor,RB,315.4,206.39999999999998,1.0
2,Christian McCaffrey,RB,298.3,189.3,2.0
0,Cooper Kupp,WR,297.45,179.39999999999998,3.0
1,Derrick Henry,RB,279.15000000000003,170.15000000000003,4.0
3,Austin Ekeler,RB,275.15,166.14999999999998,5.0
5,Alvin Kamara,RB,251.65,142.65,6.0
2,Justin Jefferson,WR,258.9,140.84999999999997,7.0
4,Joe Mixon,RB,246.75,137.75,8.0
1,Ja'Marr Chase,WR,254.75,136.7,9.0
7,Najee Harris,RB,240.2,131.2,10.0
6,Dalvin Cook,RB,237.55,128.55,11.0
8,Aaron Jones,RB,234.8,125.80000000000001,12.0
4,Davante Adams,WR,240.9,122.85000000000001,13.0
3,Deebo Samuel,WR,240.75,122.7,14.0
9,Leonard Fournette,RB,229.75,120.75,15.0
14,D'Andre Swift,RB,227.15,118.15,16.0
13,Saquon Barkley,RB,224.95,115.94999999999999,17.0
10,James Conner,RB,221.55,112.55000000000001,18.0
12,Javonte Williams,RB,220.65,111.65,19.0
5,Stefon Diggs,WR,228.60000000000002,110.55000000000003,20.0
0,Travis Kelce,TE,223.35,107.35,21.0
1,Mark Andrews,TE,219.64999999999998,103.64999999999998,22.0
0,Josh Allen,QB,400.7,102.09999999999997,23.0
8,Tyreek Hill,WR,219.05,101.00000000000001,24.0
11,Nick Chubb,RB,209.8,100.80000000000001,25.0
7,CeeDee Lamb,WR,218.75,100.7,26.0
15,David Montgomery,RB,206.04999999999998,97.04999999999998,27.0
6,Mike Evans,WR,214.5,96.45,28.0
16,Ezekiel Elliott,RB,201.0,92.0,29.0
9,Tee Higgins,WR,207.05,89.00000000000001,30.0
18,Breece Hall,RB,193.8,84.80000000000001,31.0
23,Travis Etienne Jr.,RB,193.39999999999998,84.39999999999998,32.0
12,Michael Pittman Jr.,WR,202.3,84.25000000000001,33.0
10,A.J. Brown,WR,202.0,83.95,34.0
19,Cam Akers,RB,190.9,81.9,35.0
14,Keenan Allen,WR,199.55,81.50000000000001,36.0
17,Elijah Mitchell,RB,189.9,80.9,37.0
21,Josh Jacobs,RB,188.5,79.5,38.0
16,Brandin Cooks,WR,194.8,76.75000000000001,39.0
11,Mike Williams,WR,194.15,76.10000000000001,40.0
22,J.K. Dobbins,RB,184.95,75.94999999999999,41.0
13,DJ Moore,WR,193.45,75.39999999999999,42.0
1,Patrick Mahomes II,QB,373.2,74.59999999999997,43.0
20,Damien Harris,RB,181.85,72.85,44.0
18,Diontae Johnson,WR,190.75,72.7,45.0
24,Miles Sanders,RB,179.35,70.35,46.0
19,Chris Godwin,WR,185.85,67.8,47.0
17,DK Metcalf,WR,184.05,66.00000000000001,48.0
25,Antonio Gibson,RB,174.8,65.80000000000001,49.0
22,Jaylen Waddle,WR,183.20000000000002,65.15000000000002,50.0
23,Amon-Ra St. Brown,WR,181.10000000000002,63.050000000000026,51.0
27,AJ Dillon,RB,171.75,62.75,52.0
20,Terry McLaurin,WR,180.65,62.60000000000001,53.0
15,Gabriel Davis,WR,180.5,62.45,54.0
25,Michael Thomas,WR,179.05,61.000000000000014,55.0
29,Clyde Edwards-Helaire,RB,169.25,60.25,56.0
31,Tony Pollard,RB,169.14999999999998,60.14999999999998,57.0
28,Dameon Pierce,RB,168.55,59.55000000000001,58.0
21,Courtland Sutton,WR,176.0,57.95,59.0
26,Rashaad Penny,RB,166.75,57.75,60.0
26,Marquise Brown,WR,175.64999999999998,57.59999999999998,61.0
2,Justin Herbert,QB,355.7,57.099999999999966,62.0
24,Jerry Jeudy,WR,174.89999999999998,56.84999999999998,63.0
27,Darnell Mooney,WR,174.8,56.750000000000014,64.0
30,Devin Singletary,RB,163.6,54.599999999999994,65.0
34,Chase Edmonds,RB,163.4,54.400000000000006,66.0
33,Cordarrelle Patterson,RB,162.95000000000002,53.95000000000002,67.0
32,Rhamondre Stevenson,RB,162.95,53.94999999999999,68.0
3,Lamar Jackson,QB,351.4,52.799999999999955,69.0
4,Kyler Murray,QB,350.7,52.099999999999966,70.0
28,Elijah Moore,WR,169.35,51.3,71.0
5,Jalen Hurts,QB,349.8,51.19999999999999,72.0
29,Tyler Lockett,WR,169.15,51.10000000000001,73.0
34,Hunter Renfrow,WR,168.60000000000002,50.550000000000026,74.0
33,JuJu Smith-Schuster,WR,166.2,48.14999999999999,75.0
31,Allen Robinson II,WR,165.95,47.89999999999999,76.0
30,Adam Thielen,WR,165.8,47.750000000000014,77.0
2,Kyle Pitts,TE,163.3,47.30000000000001,78.0
32,Amari Cooper,WR,165.1,47.05,79.0
35,Robert Woods,WR,163.55,45.500000000000014,80.0
3,Darren Waller,TE,161.3,45.30000000000001,81.0
36,Rashod Bateman,WR,161.3,43.250000000000014,82.0
5,Dalton Schultz,TE,155.0,39.0,83.0
38,Christian Kirk,WR,156.8,38.750000000000014,84.0
6,Tom Brady,QB,336.8,38.19999999999999,85.0
4,George Kittle,TE,153.65,37.650000000000006,86.0
36,Kareem Hunt,RB,143.5,34.5,87.0
7,Dak Prescott,QB,332.9,34.299999999999955,88.0
37,DeVonta Smith,WR,152.0,33.95,89.0
39,Chase Claypool,WR,150.35,32.3,90.0
40,Brandon Aiyuk,WR,149.1,31.049999999999997,91.0
35,Melvin Gordon III,RB,139.4,30.400000000000006,92.0
42,Drake London,WR,147.4,29.35000000000001,93.0
41,Allen Lazard,WR,146.15,28.10000000000001,94.0
8,Joe Burrow,QB,323.8,25.19999999999999,95.0
6,Dallas Goedert,TE,140.29999999999998,24.299999999999983,96.0
48,Jakobi Meyers,WR,141.95,23.89999999999999,97.0
43,Treylon Burks,WR,141.04999999999998,22.999999999999986,98.0
44,DeAndre Hopkins,WR,140.85,22.799999999999997,99.0
47,Kadarius Toney,WR,138.8,20.750000000000014,100.0
9,Aaron Rodgers,QB,318.2,19.599999999999966,101.0
7,T.J. Hockenson,TE,133.89999999999998,17.899999999999977,102.0
46,Mecole Hardman,WR,135.45,17.39999999999999,103.0
10,Matthew Stafford,QB,315.9,17.299999999999955,104.0
37,Michael Carter,RB,125.69999999999999,16.69999999999999,105.0
11,Trey Lance,QB,315.0,16.399999999999977,106.0
49,DeVante Parker,WR,133.0,14.950000000000003,107.0
45,Marquez Valdes-Scantling,WR,132.05,14.000000000000014,108.0
52,Russell Gage,WR,131.65,13.600000000000009,109.0
53,Tyler Boyd,WR,131.1,13.049999999999997,110.0
51,Kenny Golladay,WR,128.6,10.549999999999997,111.0
54,Marvin Jones Jr.,WR,128.25,10.200000000000003,112.0
10,Zach Ertz,TE,126.05,10.049999999999997,113.0
50,Michael Gallup,WR,127.25,9.200000000000003,114.0
39,James Robinson,RB,117.89999999999999,8.899999999999991,115.0
9,Hunter Henry,TE,124.85000000000001,8.850000000000009,116.0
12,Russell Wilson,QB,307.0,8.399999999999977,117.0
8,Dawson Knox,TE,123.6,7.599999999999994,118.0
56,Jarvis Landry,WR,125.5,7.450000000000003,119.0
38,Raheem Mostert,RB,115.25,6.25,120.0
57,Robbie Anderson,WR,123.95,5.900000000000006,121.0
55,Chris Olave,WR,123.6,5.549999999999997,122.0
40,Darrell Henderson Jr.,RB,112.65,3.6500000000000057,123.0
11,Mike Gesicki,TE,119.0,3.0,124.0
59,Garrett Wilson,WR,120.8,2.75,125.0
58,DJ Chark Jr.,WR,118.9,0.8500000000000085,126.0
13,Pat Freiermuth,TE,116.85,0.8499999999999943,127.0
61,Nico Collins,WR,118.4,0.3500000000000085,128.0
12,Tyler Higbee,TE,116.19999999999999,0.19999999999998863,129.0
45,Nyheim Hines,RB,109.15,0.15000000000000568,130.0
44,James Cook,RB,109.0,0.0,132.5
14,Cole Kmet,TE,116.0,0.0,132.5
13,Kirk Cousins,QB,298.6,0.0,132.5
63,George Pickens,WR,118.05,0.0,132.5
60,Corey Davis,WR,117.44999999999999,-0.6000000000000085,135.0
41,Jamaal Williams,RB,108.05,-0.9500000000000028,136.0
15,Noah Fant,TE,115.0,-1.0,137.0
62,Jahan Dotson,WR,116.65,-1.3999999999999915,138.0
14,Derek Carr,QB,296.2,-2.400000000000034,139.0
42,Brian Robinson Jr.,RB,104.60000000000001,-4.3999999999999915,140.0
43,Ken Walker III,RB,104.05000000000001,-4.949999999999989,141.0
16,David Njoku,TE,110.5,-5.5,142.0
64,Jalen Tolbert,WR,111.80000000000001,-6.249999999999986,143.0
18,Gerald Everett,TE,109.15,-6.849999999999994,144.0
70,Rondale Moore,WR,111.10000000000001,-6.949999999999989,145.0
49,J.D. McKissic,RB,101.9,-7.099999999999994,146.5
46,Kenneth Gainwell,RB,101.9,-7.099999999999994,146.5
73,Sterling Shepard,WR,110.05000000000001,-7.999999999999986,148.0
17,Irv Smith Jr.,TE,107.7,-8.299999999999997,149.0
65,Van Jefferson,WR,109.7,-8.349999999999994,150.0
66,Donovan Peoples-Jones,WR,108.85,-9.200000000000003,151.0
68,Julio Jones,WR,107.35,-10.700000000000003,152.0
71,Parris Campbell,WR,106.64999999999999,-11.400000000000006,153.0
67,Skyy Moore,WR,106.2,-11.849999999999994,154.0
69,Curtis Samuel,WR,105.95,-12.099999999999994,155.0
20,Albert Okwuegbunam,TE,103.15,-12.849999999999994,156.0
48,Alexander Mattison,RB,96.05,-12.950000000000003,157.0
21,Logan Thomas,TE,102.75,-13.25,158.0
22,Evan Engram,TE,102.6,-13.400000000000006,159.0
19,Robert Tonyan,TE,102.4,-13.599999999999994,160.0
47,Mark Ingram II,RB,95.1,-13.900000000000006,161.0
15,Tua Tagovailoa,QB,284.6,-14.0,162.0
74,Joshua Palmer,WR,103.65,-14.399999999999991,163.0
72,K.J. Osborn,WR,103.15,-14.899999999999991,164.0
50,Rex Burkhead,RB,92.65,-16.349999999999994,165.0
23,Austin Hooper,TE,98.75,-17.25,166.0
75,KJ Hamler,WR,99.80000000000001,-18.249999999999986,167.0
77,Randall Cobb,WR,98.55000000000001,-19.499999999999986,168.0
76,Alec Pierce,WR,98.5,-19.549999999999997,169.0
78,Kendrick Bourne,WR,97.35,-20.700000000000003,170.0
16,Ryan Tannehill,QB,277.0,-21.600000000000023,171.0
51,Rachaad White,RB,85.75,-23.25,172.0
17,Trevor Lawrence,QB,275.2,-23.400000000000034,173.0
81,Zay Jones,WR,91.10000000000001,-26.94999999999999,174.0
53,Khalil Herbert,RB,81.8,-27.200000000000003,175.0
80,Cedrick Wilson Jr.,WR,90.35,-27.700000000000003,176.0
24,Hayden Hurst,TE,88.05,-27.950000000000003,177.0
52,Tyler Allgeier,RB,80.95,-28.049999999999997,178.0
18,Justin Fields,QB,269.9,-28.700000000000045,179.0
79,Nick Westbrook-Ikhine,WR,89.15,-28.89999999999999,180.0
82,A.J. Green,WR,87.1,-30.950000000000003,181.0
83,Bryan Edwards,WR,86.35,-31.700000000000003,182.0
86,Isaiah McKenzie,WR,85.55,-32.5,183.0
84,Wan'Dale Robinson,WR,84.9,-33.14999999999999,184.0
25,Mo Alie-Cox,TE,82.8,-33.2,185.0
58,Ameer Abdullah,RB,74.75,-34.25,186.0
19,Matt Ryan,QB,263.5,-35.10000000000002,187.0
20,Daniel Jones,QB,263.4,-35.200000000000045,188.0
56,Jerick McKinnon,RB,73.7,-35.3,189.0
85,Romeo Doubs,WR,82.5,-35.55,190.5
26,Brevin Jordan,TE,80.45,-35.55,190.5
90,Devin Duvernay,WR,81.9,-36.14999999999999,192.0
87,Christian Watson,WR,80.85000000000001,-37.19999999999999,193.0
88,Jameson Williams,WR,79.4,-38.64999999999999,194.0
21,Jameis Winston,QB,259.3,-39.30000000000001,195.0
91,Sammy Watkins,WR,78.6,-39.45,196.0
22,Mac Jones,QB,258.8,-39.80000000000001,197.0
93,Jamison Crowder,WR,77.55,-40.5,198.0
92,Byron Pringle,WR,76.5,-41.55,199.0
89,James Washington,WR,76.39999999999999,-41.650000000000006,200.0
55,Zamir White,RB,66.6,-42.400000000000006,201.0
54,Gus Edwards,RB,66.3,-42.7,202.0
94,Nelson Agholor,WR,73.55,-44.5,203.0
23,Carson Wentz,QB,252.9,-45.70000000000002,204.0
97,Braxton Berrios,WR,72.15,-45.89999999999999,205.0
29,C.J. Uzomah,TE,69.6,-46.400000000000006,206.0
96,David Bell,WR,71.55,-46.5,207.0
27,Kyle Rudolph,TE,69.1,-46.900000000000006,208.0
98,Laviska Shenault Jr.,WR,70.9,-47.14999999999999,209.0
95,Keelan Cole Sr.,WR,70.75,-47.3,210.0
61,Damien Williams,RB,61.400000000000006,-47.599999999999994,211.0
57,D'Onta Foreman,RB,61.4,-47.6,212.0
62,Dontrell Hilliard,RB,61.2,-47.8,213.0
28,Isaiah Likely,TE,68.05,-47.95,214.0
24,Jared Goff,QB,250.6,-48.00000000000003,215.0
30,Cameron Brate,TE,67.35,-48.650000000000006,216.0
99,Olamide Zaccheaus,WR,68.05,-50.0,217.0
31,Adam Trautman,TE,65.80000000000001,-50.19999999999999,218.0
100,Velus Jones Jr.,WR,66.95,-51.099999999999994,219.0
59,Boston Scott,RB,57.6,-51.4,220.0
101,Freddie Swain,WR,66.45,-51.599999999999994,221.0
32,Jonnu Smith,TE,63.85,-52.15,222.0
60,Sony Michel,RB,56.7,-52.3,223.0
102,Quez Watkins,WR,65.6,-52.45,224.0
67,Samaje Perine,RB,55.650000000000006,-53.349999999999994,225.0
34,Tyler Conklin,TE,62.1,-53.9,226.0
103,Jauan Jennings,WR,63.3,-54.75,227.0
63,Ronald Jones II,RB,53.75,-55.25,228.0
33,Andrew Beck,TE,60.55,-55.45,229.0
64,Isaiah Spiller,RB,52.5,-56.5,230.0
65,Eno Benjamin,RB,52.35,-56.65,231.0
35,Harrison Bryant,TE,58.9,-57.1,232.0
66,Matt Breida,RB,51.75,-57.25,233.0
68,Darrel Williams,RB,51.5,-57.5,234.0
25,Baker Mayfield,QB,240.9,-57.70000000000002,235.0
69,Isiah Pacheco,RB,48.4,-60.6,236.0
36,Foster Moreau,TE,55.0,-61.0,237.0
104,Jalen Guyton,WR,56.95,-61.099999999999994,238.0
105,Dee Eskridge,WR,56.8,-61.25,239.0
72,Mike Davis,RB,47.449999999999996,-61.550000000000004,240.0
38,Tommy Tremble,TE,54.300000000000004,-61.699999999999996,241.0
37,Dan Arnold,TE,54.150000000000006,-61.849999999999994,242.0
71,J.J. Taylor,RB,46.199999999999996,-62.800000000000004,243.0
70,Phillip Lindsay,RB,45.2,-63.8,244.0
107,Chris Conley,WR,54.05,-64.0,245.0
39,Geoff Swaim,TE,50.8,-65.2,246.0
109,Terrace Marshall Jr.,WR,52.75,-65.3,247.0
73,Jeff Wilson Jr.,RB,43.4,-65.6,248.0
108,Josh Reynolds,WR,52.4,-65.65,249.0
75,Chuba Hubbard,RB,43.3,-65.7,250.0
40,Daniel Bellinger,TE,49.7,-66.3,251.0
74,D'Ernest Johnson,RB,42.050000000000004,-66.94999999999999,252.0
110,Laquon Treadwell,WR,50.95,-67.1,253.0
26,Davis Mills,QB,231.4,-67.20000000000002,254.0
106,Ty Montgomery,WR,50.699999999999996,-67.35,255.0
87,Kyle Juszczyk,RB,40.8,-68.2,256.0
76,Justin Jackson,RB,40.65,-68.35,257.0
111,James Proche II,WR,49.55,-68.5,258.0
44,Jordan Akins,TE,47.45,-68.55,259.0
41,Kendall Blanton,TE,46.9,-69.1,260.0
80,Kenyan Drake,RB,39.6,-69.4,261.0
114,Phillip Dorsett II,WR,48.550000000000004,-69.5,262.0
42,Jelani Woods,TE,46.449999999999996,-69.55000000000001,263.0
113,Amari Rodgers,WR,48.3,-69.75,264.0
77,Tyler Goodson,RB,38.699999999999996,-70.30000000000001,265.0
43,Donald Parham Jr.,TE,45.650000000000006,-70.35,266.0
112,Mack Hollins,WR,47.6,-70.44999999999999,267.0
45,Anthony Firkser,TE,44.949999999999996,-71.05000000000001,268.0
78,Ke'Shawn Vaughn,RB,37.199999999999996,-71.80000000000001,269.0
79,Hassan Haskins,RB,37.1,-71.9,270.0
46,Durham Smythe,TE,43.9,-72.1,271.0
88,Chris Evans,RB,36.65,-72.35,272.0
81,Zack Moss,RB,35.75,-73.25,273.0
82,Anthony McFarland Jr.,RB,35.55,-73.45,274.0
86,Myles Gaskin,RB,35.35,-73.65,275.0
115,Marquez Callaway,WR,44.35,-73.69999999999999,276.0
83,Craig Reynolds,RB,34.0,-75.0,277.0
51,Pharaoh Brown,TE,40.65,-75.35,278.0
84,Joshua Kelley,RB,33.5,-75.5,279.0
85,Tyrion Davis-Price,RB,33.3,-75.7,280.0
48,Cade Otton,TE,39.85,-76.15,281.0
47,Taysom Hill,TE,39.7,-76.3,282.0
49,O.J. Howard,TE,39.3,-76.7,283.0
